day, active_sb_count
1,255
2,255
3,255
4,255
5,255
6,255
7,260
8,260
9,260
10,260
11,260
12,260
13,260
14,260
15,260
16,260
17,260
18,260
19,260
20,260
21,260
22,260
23,260
24,260
25,260
26,260
27,260
28,260
29,260
30,260
31,260
32,260
33,260
34,260
35,260
36,260
37,260
38,260
39,260
40,260
41,260
42,260
43,260
44,260
45,260
46,260
47,260
48,260
49,260
50,260
51,260
52,260
53,260
54,260
55,260
56,260
57,260
58,260
59,260
60,260
61,260
62,260
63,260
64,260
65,260
66,260
67,260
68,260
69,260
70,260
71,260
72,262
73,262
74,258
75,258
76,270
77,260
78,260
79,260
80,258
81,258
82,258
83,258
84,258
85,258
86,258
87,258
88,258
89,258
90,259
91,259
92,259
93,259
94,259
95,259
96,259
97,259
98,259
99,259
100,259
101,261
102,261
103,261
104,261
105,261
106,261
107,261
108,261
109,261
110,261
111,261
112,261
113,261
114,261
115,261
116,261
117,261
118,261
119,261
120,261
121,261
122,261
123,261
124,275
125,280
126,280
127,281
128,281
129,281
130,282
131,282
132,282
133,282
134,282
135,282
136,282
137,282
138,282
139,282
140,282
141,282
142,282
143,282
144,282
145,282
146,282
147,282
148,282
149,282
150,282
151,282
152,282
153,282
154,282
155,282
156,282
157,290
158,290
159,290
160,290
161,290
162,290
163,290
164,290
165,290
166,290
167,290
168,290
169,290
170,290
171,290
172,290
173,296
174,296
175,296
176,296
177,296
178,296
179,297
180,297
181,297
182,297
183,297
184,297
185,297
186,297
187,297
188,301
189,301
190,301
191,301
192,301
193,301
194,301
195,301
196,301
197,302
198,302
199,302
200,302
201,302
202,302
203,301
204,301
205,301
206,301
207,301
208,308
209,308
210,308
211,308
212,308
213,308
214,308
215,308
216,308
217,308
218,308
219,310
220,306
221,306
222,315
223,325
224,325
225,325
